ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014095,"(1.0565884113311768, 1.1648457050323486, -34.91985321044922)","(354.75396728515625, 2.8078696727752686, 4.772411823272705)","(1.0624126195907593, 1.1809794902801514, -34.97935104370117)","(359.9756164550781, 5.412839412689209, -0.002311683027073741)","(1.399999976158142, -0.006187259219586849, -34.999900817871094)","(359.9754943847656, 3.8464577301056124e-06, -3.568794397779129e-07)",0.0,-0.086731,"(0.000000, 0.013358, 0.000433)",LeftFalse_RightFalse,False,"(-35.000389099121094, -0.00640405248850584, -1.399775505065918)","(0.032872024923563004, 90.00655364990234, 359.985107421875)",0.0,0.0,"(-0.000335, 0.026582, 0.000602)",LeftFalse_RightFalse
0.05127,0.021523,"(1.0563454627990723, 1.1651853322982788, -34.91962432861328)","(354.8832702636719, 2.802044630050659, 4.806182384490967)","(1.0624126195907593, 1.1815879344940186, -34.979209899902344)","(359.9831848144531, 5.412568092346191, -0.0016040699556469917)","(1.3999998569488525, -0.005576088093221188, -34.999916076660156)","(359.9831237792969, -0.0002672428381629288, -1.0945293070108164e-05)",0.0,-0.086731,"(-0.000027, 0.010213, 0.000933)",LeftFalse_RightFalse,False,"(-35.0003662109375, -0.005311968270689249, -1.399773120880127)","(0.02663588337600231, 90.00655364990234, 359.9890441894531)",-0.037976,-0.022339,"(-0.000278, 0.015756, 0.000427)",LeftFalse_RightFalse
0.114014,0.029766,"(1.0561985969543457, 1.1655868291854858, -34.91944122314453)","(355.0586853027344, 2.8471744060516357, 4.824681758880615)","(1.0624116659164429, 1.182152509689331, -34.97908020019531)","(359.9900207519531, 5.411611080169678, -0.0009519726154394448)","(1.3999993801116943, -0.005008957348763943, -34.99992370605469)","(359.9899597167969, -0.0012241974472999573, -5.787459485873114e-06)",0.0,-0.086731,"(0.000040, 0.007440, -0.000179)",LeftFalse_RightFalse,False,"(-35.00033950805664, -0.004515512380748987, -1.3997706174850464)","(0.020280057564377785, 90.00655364990234, 359.99249267578125)",0.008493,-0.019825,"(-0.000230, 0.008852, 0.000304)",LeftFalse_RightFalse
0.178833,0.036796,"(1.0562068223953247, 1.1659321784973145, -34.91865921020508)","(355.2453308105469, 2.8663554191589355, 4.831945896148682)","(1.062412142753601, 1.1825627088546753, -34.978973388671875)","(-0.005229596048593521, 5.413027763366699, -0.0005038267700001597)","(1.3999992609024048, -0.004596966318786144, -34.99992370605469)","(-0.005253802984952927, 0.00019261124543845654, -8.265418728115037e-06)",0.0,-0.086731,"(-0.000085, 0.005206, 0.001593)",LeftFalse_RightFalse,False,"(-35.00026321411133, -0.0040807900950312614, -1.3997678756713867)","(0.014850398525595665, 90.00669860839844, -0.005069163627922535)",0.006705,-0.019888,"(0.001816, 0.004603, 0.000237)",LeftFalse_RightFalse
0.239258,0.041502,"(1.0562058687210083, 1.1655521392822266, -34.91837692260742)","(355.4056701660156, 2.849978446960449, 4.797364711761475)","(1.0624103546142578, 1.1828209161758423, -34.97890853881836)","(-0.002371641108766198, 5.411933898925781, -0.00023943801352288574)","(1.3999977111816406, -0.004337806720286608, -34.99991226196289)","(-0.0023836521431803703, -0.000901133578736335, -1.4650273442384787e-05)",0.0,-0.086731,"(0.000004, 0.003512, -0.000095)",LeftFalse_RightFalse,False,"(-35.000091552734375, -0.0038866533432155848, -1.3997647762298584)","(0.010679531842470169, 90.00751495361328, -0.003525006351992488)",0.0014,-0.019948,"(0.001962, 0.002106, 0.000175)",LeftFalse_RightFalse
0.297241,0.044797,"(1.0562700033187866, 1.1654733419418335, -34.91761779785156)","(355.5456237792969, 2.786334276199341, 4.868685245513916)","(1.0624113082885742, 1.1829861402511597, -34.97887420654297)","(-0.0005483055138029158, 5.413515567779541, -2.9111459298292175e-05)","(1.3999989032745361, -0.004171713721007109, -34.99992370605469)","(-0.000548606738448143, 0.0006803801516070962, 2.2740747226634994e-05)",0.0,-0.086731,"(0.000004, 0.002284, 0.000328)",LeftFalse_RightFalse,False,"(-34.99995422363281, -0.003808529581874609, -1.3997628688812256)","(0.007810569833964109, 90.00614929199219, -0.00247038621455431)",0.002014,-0.020014,"(0.002139, 0.000723, 0.000123)",LeftFalse_RightFalse
0.362305,0.048857,"(1.0562971830368042, 1.1654760837554932, -34.917198181152344)","(355.717041015625, 2.761601686477661, 4.959066390991211)","(1.0624090433120728, 1.183104157447815, -34.97879409790039)","(0.00036856805672869086, 5.413945198059082, 7.292572718142765e-06)","(1.3999954462051392, -0.004053601995110512, -34.9998664855957)","(0.00036761246155947447, 0.001109861652366817, -2.7507461709319614e-05)",0.0,-0.086731,"(-0.000009, 0.001428, 0.000192)",LeftFalse_RightFalse,False,"(-34.99981689453125, -0.0037878532893955708, -1.3997613191604614)","(0.0055335634388029575, 90.00685119628906, -0.001648960867896676)",-0.001156,-0.020081,"(0.001067, 0.000017, 0.000070)",LeftFalse_RightFalse
0.420044,0.050635,"(1.0563026666641235, 1.1655032634735107, -34.91705322265625)","(355.7908020019531, 2.7792208194732666, 5.06761360168457)","(1.0624065399169922, 1.1831672191619873, -34.978755950927734)","(0.0008479648968204856, 5.4130682945251465, 4.221824565320276e-05)","(1.3999930620193481, -0.0039903814904391766, -34.99983215332031)","(0.0008481660624966025, 0.00023322679044213146, -3.795966404140927e-05)",0.0,-0.086731,"(-0.000084, 0.000855, 0.001183)",LeftFalse_RightFalse,False,"(-34.999549865722656, -0.003798621241003275, -1.399756908416748)","(0.004042401444166899, 90.00709533691406, -0.0011721780756488442)",0.005018,-0.020144,"(-0.000037, -0.000289, 0.000071)",LeftFalse_RightFalse
0.483398,0.053179,"(1.0563666820526123, 1.1663036346435547, -34.91628646850586)","(355.9285888671875, 2.8852741718292236, 5.1210036277771)","(1.0624032020568848, 1.183207631111145, -34.97869873046875)","(0.0010697186226025224, 5.413418769836426, 6.969749665586278e-05)","(1.3999897241592407, -0.003950015641748905, -34.99978256225586)","(0.0010715232929214835, 0.0005839688237756491, -3.152126737404615e-05)",0.0,-0.086731,"(-0.000079, 0.000485, 0.001340)",LeftFalse_RightFalse,False,"(-34.99950408935547, -0.0038209385238587856, -1.3997553586959839)","(0.0030288738198578358, 90.00688934326172, -0.0007864208891987801)",0.000524,-0.020211,"(0.001349, -0.000386, 0.000057)",LeftFalse_RightFalse
0.541748,0.054211,"(1.056386947631836, 1.166580319404602, -34.915985107421875)","(356.0152893066406, 3.0405755043029785, 5.092635154724121)","(1.0624003410339355, 1.183227777481079, -34.9786376953125)","(0.001083100913092494, 5.41405725479126, 6.611710705328733e-05)","(1.3999865055084229, -0.003929899074137211, -34.999725341796875)","(0.0010845080250874162, 0.0012224146630614996, -3.634805398178287e-05)",0.0,-0.086731,"(-0.000124, 0.000255, 0.002116)",LeftFalse_RightFalse,False,"(-34.999427795410156, -0.003843502141535282, -1.3997540473937988)","(0.002230233047157526, 90.00531768798828, -0.0005480433464981616)",0.001345,-0.020278,"(0.001799, -0.000379, 0.000050)",LeftFalse_RightFalse
