ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014385,"(-34.918663024902344, 1.123380422592163, -1.047832727432251)","(8.396099090576172, 91.55946350097656, 356.81036376953125)","(-34.205322265625, 0.7118299007415771, -0.7411898374557495)","(0.24170853197574615, 313.05413818359375, 0.22582317888736725)","(-34.99880599975586, -0.07649210095405579, -1.399999976158142)","(359.6692199707031, 89.99992370605469, -4.002130538083293e-08)",0.0,-0.019501,"(0.001495, 0.205008, 0.000000)",LeftFalse_RightFalse,False,"(-0.8699973821640015, -0.006466074846684933, 34.99991989135742)","(0.005216543562710285, 177.9569091796875, 3.118997483397834e-06)",0.0,0.0,"(0.000010, 0.027365, -0.000275)",LeftFalse_RightFalse
0.057434,0.022993,"(-34.919124603271484, 1.135870337486267, -1.0471924543380737)","(8.648249626159668, 91.63851165771484, 356.8768310546875)","(-34.20487976074219, 0.7244385480880737, -0.7411929368972778)","(0.2087443619966507, 313.0542297363281, 0.19501878321170807)","(-34.99898910522461, -0.06325837969779968, -1.4000004529953003)","(359.7143249511719, 90.00010681152344, 4.589089712681016e-06)",0.0,-0.01651,"(0.001020, 0.240845, -0.000027)",LeftFalse_RightFalse,False,"(-0.8699978590011597, -0.0052615078166127205, 34.99993896484375)","(0.009332532994449139, 177.9569091796875, 1.9303704448248027e-06)",0.480776,-0.05273,"(0.000004, 0.016403, -0.000114)",LeftFalse_RightFalse
0.122925,0.031499,"(-34.919456481933594, 1.1507622003555298, -1.0461817979812622)","(8.454285621643066, 91.66259765625, 356.90673828125)","(-34.2043342590332, 0.7388537526130676, -0.7411903142929077)","(0.16130805015563965, 313.0537414550781, 0.15068525075912476)","(-34.999332427978516, -0.047942642122507095, -1.4000027179718018)","(359.7792663574219, 89.99977111816406, 1.5147923477343284e-05)",0.0,-0.012512,"(-0.000251, 0.224391, -0.000040)",LeftFalse_RightFalse,False,"(-0.8698300123214722, -0.004467107821255922, 34.997344970703125)","(0.0033739216160029173, 177.95494079589844, -0.0006795846857130527)",0.15493,-0.047451,"(0.004211, 0.009217, -0.068642)",LeftFalse_RightFalse
0.187805,0.038174,"(-34.918846130371094, 1.1635640859603882, -1.0458379983901978)","(8.314647674560547, 91.70243072509766, 356.8489990234375)","(-34.20371627807617, 0.7509852051734924, -0.7412002086639404)","(0.11541902273893356, 313.0542907714844, 0.1078266128897667)","(-34.99958038330078, -0.03493957966566086, -1.4000033140182495)","(359.842041015625, 90.00042724609375, 4.542360329651274e-06)",0.0,-0.01178,"(0.001377, 0.173008, -0.000015)",LeftFalse_RightFalse,False,"(-0.8695239424705505, -0.004068171139806509, 34.99187088012695)","(-0.005080404691398144, 177.95005798339844, -0.0009288311121053994)",-0.02202,-0.047696,"(0.005466, 0.003743, -0.098988)",LeftFalse_RightFalse
0.251648,0.0433,"(-34.92011642456055, 1.1734119653701782, -1.045682668685913)","(8.273850440979004, 91.7382583618164, 356.9060974121094)","(-34.20320510864258, 0.7602187395095825, -0.7411849498748779)","(0.07693260163068771, 313.0531005859375, 0.07188627123832703)","(-34.999778747558594, -0.02497440204024315, -1.4000039100646973)","(359.89471435546875, 89.99928283691406, -7.530562470492441e-06)",0.0,-0.011932,"(0.001778, 0.131955, -0.000006)",LeftFalse_RightFalse,False,"(-0.8692857623100281, -0.00388839072547853, 34.988075256347656)","(5.1430684834485874e-05, 177.94769287109375, -0.0007017956231720746)",0.273523,-0.047896,"(0.000444, 0.001854, -0.000435)",LeftFalse_RightFalse
0.316345,0.047583,"(-34.92021942138672, 1.1814285516738892, -1.045625925064087)","(8.016210556030273, 91.92558288574219, 356.976318359375)","(-34.20281219482422, 0.7670537233352661, -0.7411812543869019)","(0.04657132178544998, 313.052734375, 0.04351098835468292)","(-34.99995422363281, -0.017561405897140503, -1.4000046253204346)","(359.936279296875, 89.99896240234375, -5.436139645098592e-07)",0.0,-0.013611,"(0.001422, 0.096020, -0.000009)",LeftFalse_RightFalse,False,"(-0.8692021369934082, -0.0038080213125795126, 34.98685836791992)","(0.0045422581024467945, 177.94635009765625, -0.00020137822139076889)",0.005744,-0.04807,"(0.002337, 0.000634, -0.039011)",LeftFalse_RightFalse
0.382507,0.051302,"(-34.91993713378906, 1.187910795211792, -1.0456037521362305)","(7.292519569396973, 92.0905990600586, 356.9692687988281)","(-34.20246887207031, 0.7719001173973083, -0.7411633133888245)","(0.02467445284128189, 313.05145263671875, 0.02306356281042099)","(-35.000003814697266, -0.01229817047715187, -1.400004506111145)","(359.9662170410156, 89.99767303466797, -7.994123734533787e-06)",0.0,-0.017822,"(0.000682, 0.067172, -0.000010)",LeftFalse_RightFalse,False,"(-0.8690547347068787, -0.003792430507019162, 34.98419189453125)","(0.0032689704094082117, 177.9429168701172, -3.8093352486612275e-05)",-0.013208,-0.048282,"(0.002129, -0.000017, -0.039263)",LeftFalse_RightFalse
0.447693,0.054072,"(-34.91967010498047, 1.1917262077331543, -1.0455975532531738)","(6.809090614318848, 92.16273498535156, 356.9530029296875)","(-34.202247619628906, 0.775052011013031, -0.7411667108535767)","(0.010472479276359081, 313.0516357421875, 0.009787039831280708)","(-35.00004959106445, -0.008875489234924316, -1.4000051021575928)","(359.98565673828125, 89.99787902832031, -2.1235953227005666e-06)",0.0,-0.019287,"(0.001444, 0.039470, 0.000003)",LeftFalse_RightFalse,False,"(-0.868972897529602, -0.003805195214226842, 34.98305130004883)","(0.007344766519963741, 177.94236755371094, 0.0001659237896092236)",0.092208,-0.048453,"(0.000093, -0.000244, -0.000121)",LeftFalse_RightFalse
0.51001,0.055725,"(-34.91941452026367, 1.1939486265182495, -1.0465247631072998)","(6.547111988067627, 92.11860656738281, 356.9269104003906)","(-34.20209503173828, 0.7769933342933655, -0.7411694526672363)","(0.002233233768492937, 313.0518493652344, 0.002087237313389778)","(-35.00005340576172, -0.006777122616767883, -1.4000051021575928)","(-0.0030567781068384647, 89.99808502197266, -5.788401722384151e-07)",0.0,-0.019287,"(0.000969, 0.025423, -0.000003)",LeftFalse_RightFalse,False,"(-0.8689512014389038, -0.003822841215878725, 34.98273468017578)","(0.008240568451583385, 177.94189453125, 0.0003140604239888489)",-0.007087,-0.048613,"(0.000734, -0.000338, -0.012332)",LeftFalse_RightFalse
0.575928,0.057758,"(-34.919715881347656, 1.1953632831573486, -1.0473947525024414)","(6.546431541442871, 92.01899719238281, 356.87054443359375)","(-34.20199203491211, 0.7782710194587708, -0.7411479353904724)","(-0.0025041440967470407, 313.05029296875, -0.002335882745683193)","(-35.000022888183594, -0.005409250035881996, -1.4000048637390137)","(0.0034244824200868607, 89.99654388427734, -2.678777491382789e-06)",0.0,-0.019287,"(0.002422, 0.015767, 0.000023)",LeftFalse_RightFalse,False,"(-0.8689180016517639, -0.00384544744156301, 34.98223114013672)","(0.007799576502293348, 177.9418182373047, 0.0003132551210001111)",0.023987,-0.048785,"(0.000063, -0.000316, 0.000002)",LeftFalse_RightFalse
