ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014402,"(34.81169509887695, 1.185547947883606, 1.039001703262329)","(351.1557922363281, 270.62799072265625, 2.5047943592071533)","(36.9499397277832, 1.01798415184021, -0.4494199752807617)","(0.0005901167169213295, 304.16156005859375, 0.00040035825804807246)","(34.999996185302734, -0.003921069670468569, 1.4000000953674316)","(0.0007131090387701988, 270.0000305175781, -8.731065292977291e-08)",0.0,0.010651,"(0.000000, -0.000005, 0.000000)",LeftFalse_RightFalse,False,"(-34.15996551513672, -0.003921985626220703, -1.0098540782928467)","(0.0006816764944233, 90.7042236328125, -1.2214633215990034e-07)",0.0,0.0,"(0.000000, -0.000001, 0.000000)",LeftFalse_RightFalse
0.050781,0.021677,"(34.812660217285156, 1.1855478286743164, 1.0400724411010742)","(351.3046875, 271.248779296875, 2.769041061401367)","(36.949951171875, 1.01798415184021, -0.4494127035140991)","(0.0005934417131356895, 304.1613464355469, 0.0004024396475870162)","(35.0, -0.003921199589967728, 1.399999976158142)","(0.0007170290919020772, 269.99981689453125, -2.3209886990116502e-07)",0.0,0.010651,"(0.000333, -0.000003, -0.000001)",LeftFalse_RightFalse,False,"(-34.15996551513672, -0.003921985626220703, -1.0098540782928467)","(0.0006851148791611195, 90.7042236328125, -6.75817318551708e-07)",0.000923,0.111276,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.112183,0.02963,"(34.813602447509766, 1.1855478286743164, 1.0412545204162598)","(351.5260009765625, 272.035400390625, 3.072737693786621)","(36.949989318847656, 1.0179818868637085, -0.44936811923980713)","(0.0005475750076584518, 304.1600036621094, 0.00037239849916659296)","(34.99999237060547, -0.003921469673514366, 1.399999976158142)","(0.000662207487039268, 269.9985046386719, 6.654732942479313e-07)",0.0,0.010651,"(0.000588, -0.000002, -0.000003)",LeftFalse_RightFalse,False,"(-34.160003662109375, -0.00392185477539897, -1.009848952293396)","(0.0008277372107841074, 90.70401763916016, -5.515867451322265e-05)",-0.003491,0.098715,"(0.001355, 0.000004, -0.000111)",LeftFalse_RightFalse
0.171387,0.035533,"(34.81413269042969, 1.1855474710464478, 1.0431294441223145)","(351.8822021484375, 273.30780029296875, 3.5291948318481445)","(36.95003890991211, 1.0179853439331055, -0.4493422508239746)","(0.0006304620183072984, 304.15924072265625, 0.0004249388293828815)","(35.00001907348633, -0.0039215292781591415, 1.3999998569488525)","(0.000760295835789293, 269.99774169921875, -2.4029056930885417e-06)",0.0,0.010651,"(0.000725, 0.000000, -0.000005)",LeftFalse_RightFalse,False,"(-34.16001510620117, -0.003921668045222759, -1.0098470449447632)","(0.0007400511531159282, 90.70391845703125, -1.867246646725107e-05)",0.004038,0.099025,"(-0.000003, 0.000001, 0.000004)",LeftFalse_RightFalse
0.232666,0.040694,"(34.81435012817383, 1.1855478286743164, 1.043921947479248)","(352.12677001953125, 274.1626281738281, 3.870347261428833)","(36.95006561279297, 1.017983317375183, -0.4493147134780884)","(0.0005809076246805489, 304.158447265625, 0.00039266038220375776)","(35.00001907348633, -0.0039214445278048515, 1.399999737739563)","(0.0007011662819422781, 269.9969177246094, -1.2857411775257788e-06)",0.0,0.010651,"(-0.002070, -0.000001, 0.000016)",LeftFalse_RightFalse,False,"(-34.15999221801758, -0.003921709023416042, -1.009848952293396)","(0.0006433966918848455, 90.70486450195312, 1.4840596122667193e-05)",0.003747,0.099347,"(0.000853, -0.000001, -0.000061)",LeftFalse_RightFalse
0.293091,0.044647,"(34.81481170654297, 1.1849092245101929, 1.044811725616455)","(352.35394287109375, 275.0225830078125, 4.296269416809082)","(36.95008087158203, 1.0179810523986816, -0.4492694139480591)","(0.0005273103015497327, 304.1571044921875, 0.00035761098843067884)","(34.99999237060547, -0.0039215534925460815, 1.4000000953674316)","(0.0006371354684233665, 269.99560546875, -1.9129657857774873e-07)",0.0,0.010651,"(0.001458, -0.000003, -0.000010)",LeftFalse_RightFalse,False,"(-34.15993881225586, -0.003921813797205687, -1.0098519325256348)","(0.000533514132257551, 90.70470428466797, 2.6600255296216346e-05)",0.001321,0.099662,"(0.001956, -0.000004, -0.000127)",LeftFalse_RightFalse
0.352661,0.047621,"(34.81499481201172, 1.1856822967529297, 1.045156478881836)","(352.474853515625, 275.65106201171875, 4.585944652557373)","(36.950103759765625, 1.0179803371429443, -0.4492354393005371)","(0.0005126846372149885, 304.1561279296875, 0.00034961994970217347)","(34.99998092651367, -0.0039215898141264915, 1.4000003337860107)","(0.0006205462850630283, 269.99462890625, 1.4091640423430363e-06)",0.0,0.010651,"(0.000812, -0.000001, -0.000004)",LeftFalse_RightFalse,False,"(-34.159793853759766, -0.003921947441995144, -1.0098631381988525)","(0.00020761939231306314, 90.7052993774414, 0.00011367422848707065)",-0.004626,0.099969,"(0.003152, -0.000003, -0.000264)",LeftFalse_RightFalse
0.415283,0.050613,"(34.81501007080078, 1.1868070363998413, 1.045310616493225)","(352.5389099121094, 275.9888916015625, 4.831053733825684)","(36.949989318847656, 1.0179755687713623, -0.44929611682891846)","(0.0004030737036373466, 304.1579284667969, 0.00028144061798229814)","(34.99992370605469, -0.003921802155673504, 1.4000006914138794)","(0.0004915632889606059, 269.99639892578125, 6.543295512528857e-06)",0.0,0.010651,"(0.000073, -0.000002, 0.000002)",LeftFalse_RightFalse,False,"(-34.15982437133789, -0.003921900875866413, -1.0098578929901123)","(0.0005467543378472328, 90.70503234863281, 1.5643170627299696e-05)",0.002238,0.100298,"(0.000010, 0.000001, 0.000007)",LeftFalse_RightFalse
0.474487,0.05235,"(34.815006256103516, 1.1888270378112793, 1.0453670024871826)","(352.2313537597656, 276.211669921875, 4.730467319488525)","(36.949928283691406, 1.0179781913757324, -0.4493335485458374)","(0.00046639173524454236, 304.1590270996094, 0.0003207830886822194)","(34.999900817871094, -0.003921842202544212, 1.4000009298324585)","(0.0005660481401719153, 269.9975280761719, 3.5427121929387795e-06)",0.0,0.010651,"(-0.000566, -0.000001, 0.000007)",LeftFalse_RightFalse,False,"(-34.15984344482422, -0.003921728581190109, -1.0098565816879272)","(0.000770679151173681, 90.70555114746094, -2.5324961825390346e-05)",-0.000743,0.100609,"(-0.000325, 0.000002, 0.000031)",LeftFalse_RightFalse
0.53894,0.054758,"(34.81502914428711, 1.1904011964797974, 1.045385718345642)","(351.57501220703125, 276.3534851074219, 4.421258926391602)","(36.94997787475586, 1.0179808139801025, -0.44928407669067383)","(0.0005302884965203702, 304.1575927734375, 0.00036252359859645367)","(34.99990463256836, -0.003921748138964176, 1.400001049041748)","(0.0006423585000447929, 269.9960632324219, 2.201421693825978e-06)",0.0,0.010651,"(-0.000841, 0.000001, 0.000007)",LeftFalse_RightFalse,False,"(-34.15971755981445, -0.003921953029930592, -1.00986909866333)","(0.0007017409079708159, 90.70524597167969, 3.172511060256511e-05)",0.002621,0.100939,"(0.000003, 0.000005, -0.000024)",LeftFalse_RightFalse
0.598511,0.055714,"(34.81415939331055, 1.1916440725326538, 1.0451778173446655)","(351.3586730957031, 276.324951171875, 4.104028224945068)","(36.94998550415039, 1.017983078956604, -0.44927120208740234)","(0.0005814256728626788, 304.1572265625, 0.0003954254789277911)","(34.999900817871094, -0.003921717405319214, 1.4000011682510376)","(0.0007031477871350944, 269.9956970214844, 7.112261073416448e-07)",0.0,0.010651,"(0.001027, 0.000001, -0.000008)",LeftFalse_RightFalse,False,"(-34.159698486328125, -0.003921717405319214, -1.0098717212677002)","(0.000724690908100456, 90.70641326904297, 1.6604579286649823e-05)",0.000833,0.101252,"(-0.000388, 0.000002, 0.000034)",LeftFalse_RightFalse
0.657959,0.056467,"(34.812374114990234, 1.1921460628509521, 1.0442063808441162)","(351.175537109375, 276.0927734375, 3.699583053588867)","(36.9500846862793, 1.0179897546768188, -0.4492185115814209)","(0.0007386714569292963, 304.1556396484375, 0.0004942215164192021)","(34.99995040893555, -0.003921628464013338, 1.4000006914138794)","(0.0008887386647984385, 269.994140625, -5.837020125909476e-06)",0.0,0.010651,"(-0.000427, 0.000003, 0.000004)",LeftFalse_RightFalse,False,"(-34.15968322753906, -0.003921627998352051, -1.009872555732727)","(0.0007480738568119705, 90.70636749267578, 3.632081302384904e-08)",-0.000821,0.101563,"(0.001338, 0.000003, -0.000120)",LeftFalse_RightFalse
0.717773,0.05714,"(34.80987548828125, 1.1923507452011108, 1.0440553426742554)","(351.4337158203125, 275.56744384765625, 3.372283935546875)","(36.95014190673828, 1.0179905891418457, -0.44918739795684814)","(0.0007568788714706898, 304.15472412109375, 0.0005042530247010291)","(34.99998092651367, -0.003921539057046175, 1.4000004529953003)","(0.0009094376000575721, 269.99322509765625, -7.760251719446387e-06)",0.0,0.010651,"(0.000836, 0.000002, -0.000008)",LeftFalse_RightFalse,False,"(-34.15973663330078, -0.0039213900454342365, -1.0098661184310913)","(0.0008328678668476641, 90.70652770996094, -3.5713102988665923e-05)",0.002209,0.101879,"(0.000000, 0.000001, 0.000014)",LeftFalse_RightFalse
0.78772,0.059705,"(34.806671142578125, 1.1914114952087402, 1.0431746244430542)","(351.51458740234375, 275.00372314453125, 2.7122836112976074)","(36.950069427490234, 1.0179753303527832, -0.44917917251586914)","(0.0003917631693184376, 304.1545104980469, 0.0002751515421550721)","(34.99989318847656, -0.003921582363545895, 1.4000011682510376)","(0.0004786727949976921, 269.99298095703125, 7.690397978876717e-06)",0.0,0.010651,"(-0.001195, -0.000003, 0.000013)",LeftFalse_RightFalse,False,"(-34.15972900390625, -0.003921447787433863, -1.0098668336868286)","(0.0008224372286349535, 90.70653533935547, -3.200754872523248e-05)",-0.000213,0.102244,"(-0.000717, -0.000001, 0.000073)",LeftFalse_RightFalse
0.849609,0.060128,"(34.803565979003906, 1.1903704404830933, 1.042417287826538)","(352.0971374511719, 274.314453125, 1.9538460969924927)","(36.9500732421875, 1.0179791450500488, -0.44917619228363037)","(0.0004893342847935855, 304.1544189453125, 0.00033503095619380474)","(34.99989700317383, -0.003921738360077143, 1.400001049041748)","(0.0005930328043177724, 269.9928894042969, 2.4492055672453716e-06)",0.0,0.010651,"(0.000571, -0.000003, -0.000004)",LeftFalse_RightFalse,False,"(-34.1596794128418, -0.003921641036868095, -1.0098717212677002)","(0.0007522429805248976, 90.70638275146484, 3.519106712701614e-06)",0.001433,0.102566,"(-0.000001, 0.000001, -0.000027)",LeftFalse_RightFalse
0.911499,0.060489,"(34.80016326904297, 1.189972162246704, 1.041643500328064)","(352.376953125, 273.4625549316406, 1.2057026624679565)","(36.95011901855469, 1.017983078956604, -0.44913792610168457)","(0.0005811977898702025, 304.1532897949219, 0.00039272618596442044)","(34.999908447265625, -0.003921677824109793, 1.4000009298324585)","(0.0007014434086158872, 269.99176025390625, -1.394338710269949e-06)",0.0,0.010651,"(-0.001241, 0.000002, 0.000009)",LeftFalse_RightFalse,False,"(-34.1596565246582, -0.0039216079749166965, -1.009875774383545)","(0.000672228867188096, 90.70565795898438, 2.58572672464652e-05)",-0.001405,0.102887,"(-0.001089, -0.000001, 0.000080)",LeftFalse_RightFalse
0.973022,0.060693,"(34.79685974121094, 1.189164161682129, 1.039682388305664)","(352.6588439941406, 272.4501647949219, 0.7162505984306335)","(36.9501953125, 1.0179861783981323, -0.44907987117767334)","(0.0006522631738334894, 304.1515808105469, 0.0004370306560304016)","(34.99993133544922, -0.0039215087890625, 1.400000810623169)","(0.0007851250702515244, 269.99005126953125, -4.639372036763234e-06)",0.0,0.010651,"(-0.000242, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(-34.159454345703125, -0.003922195639461279, -1.0098967552185059)","(0.0005490555777214468, 90.706298828125, 8.993982191896066e-05)",0.000781,0.1032,"(0.000005, 0.000006, -0.000091)",LeftFalse_RightFalse
1.037476,0.061456,"(34.793643951416016, 1.1869351863861084, 1.0373212099075317)","(353.0544738769531, 271.20068359375, 0.5090913772583008)","(36.9501838684082, 1.017981767654419, -0.4490853548049927)","(0.0005475766374729574, 304.1517333984375, 0.00037380080902948976)","(34.99991989135742, -0.003921653609722853, 1.400001049041748)","(0.0006629963172599673, 269.990234375, 1.8249513686896535e-06)",0.0,0.010651,"(0.000014, 0.000001, 0.000004)",LeftFalse_RightFalse,False,"(-34.15946960449219, -0.0039218696765601635, -1.0098965167999268)","(0.0007944481330923736, 90.70594787597656, -1.4921522051736247e-05)",-0.001908,0.103538,"(0.000133, 0.000006, -0.000023)",LeftFalse_RightFalse
1.100586,0.06177,"(34.79215621948242, 1.1845965385437012, 1.0359439849853516)","(353.9194641113281, 270.1123962402344, 0.7629182934761047)","(36.9502067565918, 1.0179827213287354, -0.449052095413208)","(0.0005733754951506853, 304.1507568359375, 0.00038933177711442113)","(34.99991226196289, -0.003921714145690203, 1.4000012874603271)","(0.0006930647068656981, 269.9892578125, 1.8942060364679492e-07)",0.0,0.010651,"(0.000506, 0.000000, -0.000002)",LeftFalse_RightFalse,False,"(-34.15947341918945, -0.003921531606465578, -1.0098962783813477)","(0.0008310323464684188, 90.7052230834961, -3.375199230504222e-05)",0.002619,0.103867,"(-0.000001, 0.000002, -0.000009)",LeftFalse_RightFalse
1.163086,0.061929,"(34.79301834106445, 1.1822044849395752, 1.0336220264434814)","(354.7164001464844, 269.2384338378906, 1.367030143737793)","(36.9501953125, 1.0179848670959473, -0.44908392429351807)","(0.0006231856532394886, 304.1517028808594, 0.00042166135972365737)","(34.99993133544922, -0.003921643365174532, 1.4000012874603271)","(0.000752434425521642, 269.99017333984375, -1.0289420515618986e-06)",0.0,0.010651,"(0.001852, 0.000001, -0.000012)",LeftFalse_RightFalse,False,"(-34.15949249267578, -0.003921374212950468, -1.0098949670791626)","(0.000911915092729032, 90.70520782470703, -5.958422116236761e-05)",-0.000686,0.104195,"(0.000301, 0.000000, -0.000017)",LeftFalse_RightFalse
1.222046,0.061331,"(34.794612884521484, 1.1813604831695557, 1.031965970993042)","(354.9234924316406, 268.6314697265625, 1.9496192932128906)","(36.95028305053711, 1.0179909467697144, -0.449057936668396)","(0.0007658669492229819, 304.1509094238281, 0.0005119527340866625)","(35.0, -0.003921526949852705, 1.4000006914138794)","(0.0009211983415298164, 269.9894104003906, -6.4360797296103556e-06)",0.0,0.010651,"(-0.001100, 0.000002, 0.000009)",LeftFalse_RightFalse,False,"(-34.15948486328125, -0.003921329975128174, -1.0098952054977417)","(0.0008326173410750926, 90.70389556884766, -4.0059618186205626e-05)",0.003767,0.104501,"(-0.000003, 0.000000, -0.000006)",LeftFalse_RightFalse
1.28479,0.061608,"(34.797271728515625, 1.181825876235962, 1.0308740139007568)","(354.5747985839844, 267.85540771484375, 2.6204910278320312)","(36.95029830932617, 1.0179896354675293, -0.449063777923584)","(0.0007338075083680451, 304.1510925292969, 0.0004900270723737776)","(35.00001907348633, -0.003921528812497854, 1.4000005722045898)","(0.0008823585812933743, 269.98956298828125, -6.576568011951167e-06)",0.0,0.010651,"(-0.000837, 0.000001, 0.000005)",LeftFalse_RightFalse,False,"(-34.159488677978516, -0.003921469207853079, -1.009894609451294)","(0.0007974904146976769, 90.70426177978516, -3.167701288475655e-05)",0.0,0.10483,"(0.002481, 0.000000, -0.000223)",LeftFalse_RightFalse
1.346802,0.061688,"(34.7991828918457, 1.18264639377594, 1.0307321548461914)","(354.0663146972656, 267.30010986328125, 3.034780740737915)","(36.95022964477539, 1.0179814100265503, -0.44911205768585205)","(0.000538755557499826, 304.15252685546875, 0.00036762619856745005)","(34.99999237060547, -0.003921598196029663, 1.400000810623169)","(0.0006522298790514469, 269.9909973144531, 1.6690637494320981e-06)",0.0,0.010651,"(-0.001912, 0.000000, 0.000018)",LeftFalse_RightFalse,False,"(-34.15951156616211, -0.003921384923160076, -1.009889841079712)","(0.0007388114463537931, 90.70405578613281, -2.9991115297889337e-05)",0.004157,0.105156,"(0.000000, -0.000003, 0.000018)",LeftFalse_RightFalse
1.409058,0.061817,"(34.80095291137695, 1.182959794998169, 1.03089439868927)","(353.5830078125, 267.0692138671875, 3.190572500228882)","(36.95015335083008, 1.0179775953292847, -0.4491546154022217)","(0.00044522483949549496, 304.1537780761719, 0.0003079970774706453)","(34.99995422363281, -0.003921660594642162, 1.4000011682510376)","(0.0005413536564446986, 269.99224853515625, 4.8485162551514804e-06)",0.0,0.010651,"(0.002337, -0.000004, -0.000017)",LeftFalse_RightFalse,False,"(-34.15950012207031, -0.003921584226191044, -1.0098915100097656)","(0.0006686954875476658, 90.70372009277344, 5.777458682132419e-06)",0.002228,0.105481,"(0.000165, -0.000003, -0.000010)",LeftFalse_RightFalse
1.469482,0.061537,"(34.80249786376953, 1.1830742359161377, 1.0312269926071167)","(353.9368591308594, 267.04595947265625, 3.0633130073547363)","(36.95010757446289, 1.017974853515625, -0.44916868209838867)","(0.0003839745477307588, 304.1542053222656, 0.0002703860227484256)","(34.99991989135742, -0.003921737894415855, 1.4000015258789062)","(0.00046955206198617816, 269.99267578125, 8.120749953377526e-06)",0.0,0.010651,"(0.000092, -0.000003, 0.000004)",LeftFalse_RightFalse,False,"(-34.15945053100586, -0.003921644762158394, -1.0098954439163208)","(0.0005507226451300085, 90.70295715332031, 3.255157935200259e-05)",-0.003015,0.105794,"(0.001420, -0.000004, -0.000104)",LeftFalse_RightFalse
1.530029,0.06134,"(34.8040885925293, 1.1790391206741333, 1.0316135883331299)","(356.53271484375, 267.0655517578125, 2.6294891834259033)","(36.950096130371094, 1.017981767654419, -0.44920265674591064)","(0.0005523486761376262, 304.15521240234375, 0.00037591616273857653)","(34.99994659423828, -0.003921848721802235, 1.4000015258789062)","(0.0006681326194666326, 269.9936828613281, 8.957222803473996e-07)",0.0,0.010651,"(-0.000109, 0.000002, 0.000004)",LeftFalse_RightFalse,False,"(-34.15945053100586, -0.0039217472076416016, -1.009893774986267)","(0.0006410079076886177, 90.70210266113281, 4.551462097879266e-06)",0.001117,0.10611,"(0.000003, 0.000000, -0.000002)",LeftFalse_RightFalse
1.592407,0.061534,"(34.807777404785156, 1.1687819957733154, 1.0307269096374512)","(3.1066830158233643, 267.25537109375, 2.279663562774658)","(36.95013427734375, 1.0179860591888428, -0.4491783380508423)","(0.0006523205665871501, 304.15447998046875, 0.00043980078771710396)","(34.999961853027344, -0.0039217472076416016, 1.4000016450881958)","(0.0007867281674407423, 269.99298095703125, -2.3794561911927303e-06)",0.0,0.010651,"(0.002285, 0.000001, -0.000017)",LeftFalse_RightFalse,False,"(-34.1594123840332, -0.0039217351004481316, -1.0098978281021118)","(0.0006137906457297504, 90.7025375366211, 2.3795450033503585e-05)",0.003531,0.106435,"(0.000360, -0.000001, -0.000033)",LeftFalse_RightFalse
