ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014865,"(-34.842159271240234, 1.1896249055862427, -0.9887399673461914)","(346.8309631347656, 98.09210205078125, 0.6443179845809937)","(-34.723690032958984, 0.6831873655319214, 0.874872088432312)","(359.9772033691406, 102.53040313720703, -0.005066195968538523)","(-34.99990463256836, -0.006097209174185991, -1.399999976158142)","(359.9766540527344, 90.00003051757812, -4.002064102337499e-08)",0.0,-0.001373,"(0.000433, 0.013358, 0.000000)",LeftFalse_RightFalse,False,"(1.3997762203216553, -0.006763622164726257, -35.00039291381836)","(0.0346328467130661, 0.006555459927767515, 359.98388671875)",0.0,0.0,"(-0.000674, 0.031333, -0.000355)",LeftFalse_RightFalse
0.061157,0.024118,"(-34.848114013671875, 1.1853623390197754, -0.9861421585083008)","(348.4018249511719, 97.43561553955078, 0.12212704867124557)","(-34.72350311279297, 0.6838383674621582, 0.8748704195022583)","(359.9852600097656, 102.53074645996094, -0.003274048212915659)","(-34.99983215332031, -0.005406299140304327, -1.399999976158142)","(359.98492431640625, 90.00037384033203, -4.902528303318832e-07)",0.0,-0.001373,"(0.002671, 0.010211, 0.000002)",LeftFalse_RightFalse,False,"(1.3997732400894165, -0.005366235505789518, -35.000370025634766)","(0.027007393538951874, 0.0065614450722932816, 359.98883056640625)",-0.041268,-0.024242,"(-0.000479, 0.018858, -0.000297)",LeftFalse_RightFalse
0.12915,0.03291,"(-34.85607147216797, 1.181053638458252, -0.9846343398094177)","(349.9380798339844, 97.27799224853516, 357.8697814941406)","(-34.72337341308594, 0.6843603253364563, 0.8748650550842285)","(359.9918518066406, 102.53185272216797, -0.0018098459113389254)","(-34.99982452392578, -0.004851830191910267, -1.4000000953674316)","(359.99163818359375, 90.00147247314453, 1.6333423218384269e-06)",0.0,-0.001373,"(0.001475, 0.006633, 0.000002)",LeftFalse_RightFalse,False,"(1.399770736694336, -0.004498098511248827, -35.00033950805664)","(0.020103788003325462, 0.0065672933124005795, 359.9925842285156)",0.012264,-0.021931,"(-0.000304, 0.008852, -0.000230)",LeftFalse_RightFalse
0.194824,0.039449,"(-34.86028289794922, 1.177818775177002, -0.9837637543678284)","(350.9889221191406, 97.38245391845703, 355.54052734375)","(-34.72327423095703, 0.6847041845321655, 0.874862790107727)","(-0.003994191065430641, 102.53231811523438, -0.00088733114534989)","(-34.99979782104492, -0.004487480968236923, -1.399999976158142)","(-0.0040915668942034245, 90.00194549560547, 3.7185844803389045e-07)",0.0123,-0.001373,"(-0.000791, 0.004581, -0.000002)",LeftFalse_RightFalse,False,"(1.3997670412063599, -0.0040685199201107025, -35.00021743774414)","(0.014480184763669968, 0.007109043188393116, -0.005000704433768988)",0.005809,-0.022005,"(-0.000259, 0.004601, 0.003079)",LeftFalse_RightFalse
0.26062,0.044724,"(-34.863189697265625, 1.1760611534118652, -0.982145369052887)","(351.60113525390625, 96.70834350585938, 354.7407531738281)","(-34.723148345947266, 0.6849318742752075, 0.8748613595962524)","(-0.001582243712618947, 102.53264617919922, -0.00035214764648117125)","(-34.99971389770508, -0.004247831180691719, -1.399999976158142)","(-0.0016209576278924942, 90.00227355957031, -4.807687901120516e-07)",0.047179,-0.001373,"(0.002906, 0.003053, 0.000002)",LeftFalse_RightFalse,False,"(1.3997642993927002, -0.003869524458423257, -35.00006866455078)","(0.010274548083543777, 0.006927163805812597, -0.0033415837679058313)",0.004133,-0.022085,"(-0.000166, 0.002105, 0.001736)",LeftFalse_RightFalse
0.331787,0.050016,"(-34.86336135864258, 1.1763746738433838, -0.9794737100601196)","(350.9164123535156, 94.66796112060547, 355.4524230957031)","(-34.722686767578125, 0.685086190700531, 0.8748655319213867)","(-0.0010129994479939342, 102.53181457519531, -0.000227708529564552)","(-34.99922561645508, -0.004090837202966213, -1.3999998569488525)","(-0.0010382737964391708, 90.00143432617188, -2.507334784240811e-06)",0.085315,-0.001373,"(0.009831, 0.001661, 0.000006)",LeftFalse_RightFalse,False,"(1.3997629880905151, -0.003796104807406664, -34.99993133544922)","(0.007123637478798628, 0.007363105658441782, -0.0021515432745218277)",0.020791,-0.022172,"(-0.000103, 0.000429, 0.002324)",LeftFalse_RightFalse
0.396484,0.052946,"(-34.86210250854492, 1.1765015125274658, -0.9772304892539978)","(350.3420715332031, 92.71727752685547, 356.3177490234375)","(-34.72165298461914, 0.6851747035980225, 0.8748767375946045)","(-0.002132775727659464, 102.52964782714844, -0.00048163969768211246)","(-34.99809265136719, -0.004008071031421423, -1.3999989032745361)","(-0.0021864708978682756, 89.99927520751953, -7.446757081197575e-06)",0.122415,-0.001373,"(0.024144, 0.000988, 0.000015)",LeftFalse_RightFalse,False,"(1.3997578620910645, -0.003789760870859027, -34.9995231628418)","(0.0041643469594419, 0.0062675029039382935, -0.0014868100406602025)",0.027205,-0.022265,"(-0.000161, -0.000130, 0.008225)",LeftFalse_RightFalse
0.459961,0.055048,"(-34.859039306640625, 1.1765666007995605, -0.9757946729660034)","(350.4373779296875, 91.2303695678711, 357.4069519042969)","(-34.71950912475586, 0.6852321028709412, 0.8748772144317627)","(-0.00474034808576107, 102.5298843383789, -0.0010658029932528734)","(-34.99592590332031, -0.003963699098676443, -1.3999974727630615)","(-0.004858672618865967, 89.99951171875, -1.1964501936745364e-05)",0.156203,-0.001373,"(0.041061, 0.000537, 0.000026)",LeftFalse_RightFalse,False,"(1.399750828742981, -0.0038079717196524143, -34.99892044067383)","(0.0019810092635452747, 0.005744673777371645, -0.0010382559848949313)",0.054237,-0.022362,"(-0.000132, -0.000362, 0.009204)",LeftFalse_RightFalse
0.519653,0.055978,"(-34.85394287109375, 1.1758462190628052, -0.9756365418434143)","(351.06805419921875, 90.60247039794922, 358.1612243652344)","(-34.71630096435547, 0.6852696537971497, 0.8748875856399536)","(359.9918212890625, 102.52814483642578, -0.0018384174909442663)","(-34.99260711669922, -0.003943470772355795, -1.3999954462051392)","(359.9916076660156, 89.99777221679688, -1.847827843448613e-05)",0.186613,-0.001373,"(0.064184, 0.000242, 0.000041)",LeftFalse_RightFalse,False,"(1.3997406959533691, -0.0038322785403579473, -34.99797439575195)","(-9.19646117836237e-05, 0.003246248932555318, -0.0007672287174500525)",0.076796,-0.022476,"(-0.000212, -0.000421, 0.018269)",LeftFalse_RightFalse
0.580322,0.056912,"(-34.8473014831543, 1.1739612817764282, -0.9772485494613647)","(352.3613586425781, 90.76659393310547, 358.0124816894531)","(-34.71147537231445, 0.6852962374687195, 0.874884843826294)","(359.9879455566406, 102.5293197631836, -0.0027017034590244293)","(-34.9877815246582, -0.003936185035854578, -1.3999924659729004)","(359.9876403808594, 89.99895477294922, -2.2660016838926822e-05)",0.215171,-0.001373,"(0.088581, 0.000063, 0.000053)",LeftFalse_RightFalse,False,"(1.3997268676757812, -0.0038571672048419714, -34.99650955200195)","(-0.0020839963108301163, 0.0017789255362004042, -0.0005715537699870765)",0.09751,-0.022605,"(-0.000255, -0.000398, 0.026481)",LeftFalse_RightFalse
