ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013514,"(-1.300264596939087, 1.1890729665756226, 34.80934524536133)","(359.0312805175781, 173.71885681152344, 359.87200927734375)","(-1.2490097284317017, 1.2559205293655396, 34.943939208984375)","(0.0006848416524007916, 191.71340942382812, 0.00014213468239177018)","(-1.7000000476837158, -0.003921627998352051, 34.999996185302734)","(0.0006994356517679989, 180.0, 1.4054873531677003e-07)",0.0,-0.080078,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(-34.999969482421875, -0.003921627998352051, -1.25)","(0.0006983284838497639, 90.00005340576172, -1.417163161931967e-06)",0.0,0.0,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.05426,0.02166,"(-1.3003907203674316, 1.192304253578186, 34.81402587890625)","(357.1009216308594, 173.10638427734375, 0.18035726249217987)","(-1.2490124702453613, 1.2559198141098022, 34.94398498535156)","(0.0008846211130730808, 191.7135467529297, 0.00023965851869434118)","(-1.7000038623809814, -0.003921607509255409, 35.00004577636719)","(0.0009148537064902484, 180.0001220703125, 5.507491368916817e-05)",0.0,-0.080078,"(-0.000070, 0.000001, 0.000937)",LeftFalse_RightFalse,False,"(-34.999969482421875, -0.003921627998352051, -1.25)","(0.0006985445506870747, 90.00005340576172, -1.1722712542905356e-06)",0.002707,-0.075864,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.121094,0.030695,"(-1.3007556200027466, 1.1941273212432861, 34.81901931762695)","(355.7840881347656, 172.22958374023438, 0.9725673198699951)","(-1.2490136623382568, 1.255920648574829, 34.943973541259766)","(0.0007113291649147868, 191.71434020996094, 0.00014769358676858246)","(-1.7000031471252441, -0.003921509720385075, 35.000038146972656)","(0.0007265001186169684, 180.00091552734375, 2.0628255015253671e-07)",0.0,-0.080078,"(0.000067, -0.000001, -0.001003)",LeftFalse_RightFalse,False,"(-34.999961853027344, -0.003921746276319027, -1.249999761581421)","(0.0006979074096307158, 90.0008773803711, 2.864940597646637e-06)",0.000708,-0.068335,"(-0.000207, 0.000000, -0.000025)",LeftFalse_RightFalse
0.191559,0.038648,"(-1.3005510568618774, 1.1947647333145142, 34.822357177734375)","(355.31585693359375, 171.0546875, 1.475030779838562)","(-1.2490143775939941, 1.2559207677841187, 34.943939208984375)","(0.0006374982767738402, 191.71641540527344, 0.00011768914555432275)","(-1.7000014781951904, -0.003921644762158394, 35.00001907348633)","(0.0006481153541244566, 180.0030059814453, -1.418442843714729e-05)",0.0,-0.080078,"(-0.000016, -0.000001, 0.000414)",LeftFalse_RightFalse,False,"(-34.999874114990234, -0.003921793308109045, -1.249995231628418)","(0.00041391473496332765, 90.00189971923828, -5.1213177357567474e-05)",-0.004314,-0.068632,"(0.001369, -0.000002, 0.000076)",LeftFalse_RightFalse
0.258179,0.044247,"(-1.3001515865325928, 1.1942600011825562, 34.82498550415039)","(355.84234619140625, 170.1263427734375, 1.7367300987243652)","(-1.249014973640442, 1.255920171737671, 34.943992614746094)","(0.0007833449635654688, 191.71527099609375, 0.00018841490964405239)","(-1.7000041007995605, -0.003921631257981062, 35.000064849853516)","(0.0008052832563407719, 180.00184631347656, 2.545917232055217e-05)",0.0,-0.080078,"(-0.000014, 0.000001, 0.000240)",LeftFalse_RightFalse,False,"(-34.999778747558594, -0.0039221118204295635, -1.2499890327453613)","(0.0005134844104759395, 90.00101470947266, -4.5665445213671774e-05)",0.002827,-0.068908,"(0.000010, 0.000003, 0.000035)",LeftFalse_RightFalse
0.332275,0.050212,"(-1.2998121976852417, 1.1940746307373047, 34.82683181762695)","(355.7131652832031, 169.6577606201172, 1.8781695365905762)","(-1.2490135431289673, 1.2559211254119873, 34.9439697265625)","(0.0005445306305773556, 191.71507263183594, 6.580691115232185e-05)","(-1.7000012397766113, -0.003921568393707275, 35.00003433227539)","(0.0005465508438646793, 180.00164794921875, -4.611226177075878e-05)",0.0,-0.080078,"(0.000144, 0.000000, -0.001951)",LeftFalse_RightFalse,False,"(-34.999755859375, -0.00392190320417285, -1.2499871253967285)","(0.0006526446086354554, 89.99987030029297, -1.0724044841481373e-05)",0.00119,-0.069217,"(0.002614, 0.000004, 0.000133)",LeftFalse_RightFalse
0.406464,0.055009,"(-1.29972243309021, 1.1960288286209106, 34.827301025390625)","(354.9608459472656, 170.19252014160156, 1.5024545192718506)","(-1.249011516571045, 1.2559207677841187, 34.94395065307617)","(0.0005556535325013101, 191.71502685546875, 8.410095324506983e-05)","(-1.6999995708465576, -0.003921726252883673, 35.00001525878906)","(0.0005611560773104429, 180.00161743164062, -3.045731682504993e-05)",0.0,-0.080078,"(0.000059, -0.000001, -0.000866)",LeftFalse_RightFalse,False,"(-34.999671936035156, -0.003921797964721918, -1.2499827146530151)","(0.0005751243443228304, 89.99888610839844, -1.4076946172281168e-05)",-0.0027,-0.069524,"(-0.000023, 0.000001, -0.000014)",LeftFalse_RightFalse
0.476288,0.05797,"(-1.2995516061782837, 1.1972534656524658, 34.82807540893555)","(354.0976867675781, 170.91009521484375, 0.6574017405509949)","(-1.2490081787109375, 1.2559210062026978, 34.94390106201172)","(0.0004870633711107075, 191.71519470214844, 5.172462624614127e-05)","(-1.699995756149292, -0.003921800758689642, 34.99996566772461)","(0.0004874213773291558, 180.0017852783203, -4.823449125979096e-05)",0.0,-0.080078,"(0.000071, -0.000001, -0.000900)",LeftFalse_RightFalse,False,"(-34.99955368041992, -0.0039220345206558704, -1.2499760389328003)","(0.0006567846867255867, 89.99916076660156, -1.6586755009484477e-05)",0.004065,-0.069814,"(0.000008, 0.000005, 0.000038)",LeftFalse_RightFalse
0.544861,0.060091,"(-1.2995011806488037, 1.197615623474121, 34.82831573486328)","(353.87396240234375, 171.778076171875, 359.9595947265625)","(-1.2490068674087524, 1.255920648574829, 34.94389343261719)","(0.0006208913400769234, 191.7154998779297, 0.00011544596054591238)","(-1.6999949216842651, -0.003921806812286377, 34.99996566772461)","(0.0006313989288173616, 180.00209045410156, -1.3009413123654667e-05)",0.0,-0.080078,"(0.000024, 0.000000, -0.000391)",LeftFalse_RightFalse,False,"(-34.99951934814453, -0.003921740688383579, -1.249974250793457)","(0.0007528130081482232, 90.00006103515625, 1.2460461221053265e-05)",-0.001422,-0.070106,"(0.002548, 0.000004, 0.000125)",LeftFalse_RightFalse
0.614288,0.061958,"(-1.3004441261291504, 1.1969115734100342, 34.827762603759766)","(354.1524353027344, 172.86190795898438, 359.1376953125)","(-1.249008059501648, 1.2559199333190918, 34.943931579589844)","(0.0008527576574124396, 191.71530151367188, 0.0002272002020617947)","(-1.6999976634979248, -0.0039217062294483185, 35.00000762939453)","(0.0008811245206743479, 180.0018768310547, 4.934487515129149e-05)",0.0,-0.080078,"(-0.000041, 0.000003, 0.000601)",LeftFalse_RightFalse,False,"(-34.99954605102539, -0.003921398892998695, -1.2499775886535645)","(0.0008319125627167523, 90.00008392333984, 3.760892286663875e-05)",0.001895,-0.070404,"(0.000002, 0.000001, -0.000014)",LeftFalse_RightFalse
