ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014154,"(-1.014840841293335, 1.2106578350067139, 34.73077392578125)","(4.772618293762207, 179.63616943359375, 358.3602294921875)","(-0.7788875699043274, 0.8376084566116333, 34.23272705078125)","(-0.0006979178288020194, 0.9907398819923401, -1.1722697308869101e-05)","(-1.399999976158142, -0.003921568393707275, 34.999996185302734)","(0.0006980161997489631, 180.0, -3.4659291259231395e-07)",0.0,-0.001038,"(0.000000, -0.000001, 0.000000)",LeftFalse_RightFalse,False,"(-33.909969329833984, -0.003921806812286377, -1.0898535251617432)","(0.0006954373093321919, 90.00144958496094, -3.8845556105115975e-07)",0.0,0.0,"(0.000000, 0.000001, 0.000000)",LeftFalse_RightFalse
0.055237,0.022368,"(-1.014636516571045, 1.2109575271606445, 34.7311897277832)","(4.612809181213379, 179.63311767578125, 358.3570251464844)","(-0.7788853645324707, 0.8376069068908691, 34.232757568359375)","(-0.0008103408035822213, 0.9905701875686646, -1.3874941032554489e-05)","(-1.4000000953674316, -0.003921598196029663, 35.00002670288086)","(0.0008104595472104847, 179.9998321533203, -1.3855044755928247e-07)",0.0,-0.001038,"(-0.000001, 0.000000, 0.000649)",LeftFalse_RightFalse,False,"(-33.909969329833984, -0.003921777009963989, -1.0898535251617432)","(0.000696388422511518, 90.00144958496094, -1.1503068435558816e-06)",0.078066,0.029448,"(0.000000, 0.000001, 0.000000)",LeftFalse_RightFalse
0.124084,0.031672,"(-1.0145165920257568, 1.2111262083053589, 34.73137664794922)","(4.334741592407227, 179.6302947998047, 358.3692932128906)","(-0.7788683772087097, 0.8376100063323975, 34.23272705078125)","(-0.0005816258490085602, 0.9893138408660889, -7.760257176414598e-06)","(-1.3999998569488525, -0.003921598196029663, 34.99998092651367)","(0.000581673055421561, 179.99856567382812, -2.297663286299212e-06)",0.0,-0.001038,"(0.000003, 0.000000, -0.001685)",LeftFalse_RightFalse,False,"(-33.9095344543457, -0.003922440577298403, -1.0898605585098267)","(-0.0005190009251236916, 90.00078582763672, 6.050278534530662e-05)",0.112044,0.026546,"(0.011340, -0.000017, -0.000162)",LeftFalse_RightFalse
0.194458,0.039403,"(-1.0144860744476318, 1.2126851081848145, 34.731422424316406)","(3.6850028038024902, 179.60107421875, 358.346923828125)","(-0.77888423204422, 0.8376103043556213, 34.23270034790039)","(-0.0005505912704393268, 0.9905029535293579, -9.203717127093114e-06)","(-1.3999998569488525, -0.003921671770513058, 34.99996566772461)","(0.0005506679299287498, 179.999755859375, -3.178046199536766e-07)",0.0,-0.001038,"(0.000000, -0.000001, 0.000134)",LeftFalse_RightFalse,False,"(-33.90789031982422, -0.003924993332475424, -1.0898809432983398)","(-0.003599209478124976, 90.00120544433594, 0.00015692821762058884)",0.114742,0.026583,"(0.033070, -0.000052, -0.000384)",LeftFalse_RightFalse
0.264465,0.045526,"(-1.0144739151000977, 1.2140079736709595, 34.7314453125)","(2.600991725921631, 179.58309936523438, 358.3990478515625)","(-0.7788801193237305, 0.8376091718673706, 34.232704162597656)","(-0.000637767487205565, 0.9901942014694214, -9.086136742553208e-06)","(-1.3999998569488525, -0.003921688999980688, 34.999969482421875)","(0.0006378292455337942, 179.9994659423828, -1.9427127426752122e-06)",0.0,-0.001038,"(0.000002, 0.000001, -0.000648)",LeftFalse_RightFalse,False,"(-33.90499496459961, -0.0039291707798838615, -1.0899128913879395)","(359.9930419921875, 90.00189208984375, 0.00024051278887782246)",0.158011,0.02656,"(0.049921, -0.000065, -0.000559)",LeftFalse_RightFalse
0.332275,0.049981,"(-1.0144723653793335, 1.2151148319244385, 34.731422424316406)","(1.9563931226730347, 179.60804748535156, 358.4646911621094)","(-0.7788845300674438, 0.8376095294952393, 34.23267364501953)","(-0.0006038784049451351, 0.9905204772949219, -8.85854478838155e-06)","(-1.3999998569488525, -0.003921757452189922, 34.99993896484375)","(0.0006039413274265826, 179.99978637695312, -1.5843028222661815e-06)",0.0,-0.001038,"(0.000000, -0.000001, 0.000558)",LeftFalse_RightFalse,False,"(-33.90050506591797, -0.0039343140088021755, -1.0899639129638672)","(359.9888916015625, 90.0042724609375, 0.0003764745779335499)",0.144231,0.026475,"(0.078256, -0.000082, -0.000858)",LeftFalse_RightFalse
0.401794,0.053894,"(-1.0144767761230469, 1.2154786586761475, 34.73147201538086)","(1.881003975868225, 179.55377197265625, 358.5089416503906)","(-0.7788999676704407, 0.8376050591468811, 34.23271942138672)","(-0.0009418876143172383, 0.991679310798645, -1.7220456356881186e-05)","(-1.3999998569488525, -0.003921698313206434, 35.000003814697266)","(0.000942044600378722, 180.0009307861328, 9.319196578871924e-07)",0.0,-0.001038,"(-0.000002, 0.000003, 0.001279)",LeftFalse_RightFalse,False,"(-33.89432907104492, -0.003939980175346136, -1.0900309085845947)","(359.985595703125, 90.00939178466797, 0.00044357459410093725)",0.187738,0.02635,"(0.096783, -0.000079, -0.001026)",LeftFalse_RightFalse
0.470886,0.056935,"(-1.0144908428192139, 1.2155897617340088, 34.730796813964844)","(2.0641205310821533, 179.47825622558594, 358.4942321777344)","(-0.7789063453674316, 0.8376060128211975, 34.23274612426758)","(-0.0008921191329136491, 0.9921628832817078, -1.640848131501116e-05)","(-1.399999737739563, -0.003921470604836941, 35.00003433227539)","(0.0008922694250941277, 180.00143432617188, 9.80601726041641e-07)",0.0,-0.001038,"(0.000001, 0.000001, 0.000020)",LeftFalse_RightFalse,False,"(-33.886329650878906, -0.0039450498297810555, -1.0901167392730713)","(359.9823303222656, 90.01524353027344, 0.0005280923214741051)",0.178871,0.026137,"(0.134106, -0.000073, -0.001457)",LeftFalse_RightFalse
0.540405,0.05945,"(-1.0145219564437866, 1.2148239612579346, 34.72902297973633)","(2.613597869873047, 179.68988037109375, 358.5166931152344)","(-0.7789068818092346, 0.8376075029373169, 34.23276138305664)","(-0.000782023707870394, 0.9921944737434387, -1.4580915376427583e-05)","(-1.3999998569488525, -0.003921419382095337, 35.00004959106445)","(0.0007821590406820178, 180.00144958496094, 1.0569418691375176e-06)",0.0,-0.001038,"(0.000000, 0.000000, 0.000478)",LeftFalse_RightFalse,False,"(-33.87613296508789, -0.0039501613937318325, -1.0902273654937744)","(359.97894287109375, 90.02056884765625, 0.0006342121050693095)",0.206199,0.025824,"(0.158560, -0.000070, -0.001708)",LeftFalse_RightFalse
0.59845,0.059165,"(-1.0162345170974731, 1.2125720977783203, 34.728614807128906)","(3.628844976425171, 180.7755126953125, 358.4071350097656)","(-0.7789230942726135, 0.8376073837280273, 34.2327766418457)","(-0.0007835387368686497, 0.9934057593345642, -1.5254133359121624e-05)","(-1.3999998569488525, -0.003921478986740112, 35.00007629394531)","(0.0007836853619664907, 180.00267028808594, 1.703863176771847e-06)",0.0,-0.001038,"(0.000000, 0.000001, -0.001223)",LeftFalse_RightFalse,False,"(-33.86600875854492, -0.003953958861529827, -1.090335726737976)","(359.9765930175781, 90.02423095703125, 0.0006881924346089363)",0.204767,0.025466,"(0.186687, -0.000063, -0.001994)",LeftFalse_RightFalse
