ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014338,"(34.40140151977539, 1.4721087217330933, 0.8764868974685669)","(358.97967529296875, 275.2647705078125, 3.6585285663604736)","(34.822906494140625, 0.6336272954940796, -0.7347337007522583)","(0.0006002116715535522, 239.34222412109375, -0.00035658403066918254)","(34.999996185302734, -0.0039216578006744385, 1.399999976158142)","(0.0006981445476412773, 270.0000305175781, -6.89808871356945e-07)",0.0,0.11142,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(-34.99996566772461, -0.003921806812286377, -1.6898541450500488)","(0.0006989939138293266, 90.7042236328125, 4.0849192828318337e-07)",0.0,0.0,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.054199,0.022319,"(34.41596603393555, 1.455426573753357, 0.8779489398002625)","(357.1745300292969, 274.5166015625, 3.6638169288635254)","(34.82296371459961, 0.6336269378662109, -0.7347379922866821)","(0.000576889724470675, 239.34042358398438, -0.000325207831338048)","(34.99998474121094, -0.003921598196029663, 1.4000014066696167)","(0.0006620831554755569, 269.99822998046875, 1.440873347746674e-05)",0.0,0.11142,"(-0.000291, 0.000000, 0.000032)",LeftFalse_RightFalse,False,"(-34.99996566772461, -0.003921806812286377, -1.6898541450500488)","(0.0006992107955738902, 90.7042236328125, 2.7774740374297835e-07)",0.000745,0.0,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.115112,0.030043,"(34.43718719482422, 1.4279134273529053, 0.876128077507019)","(354.9840393066406, 273.1942138671875, 3.893172025680542)","(34.82290267944336, 0.6336254477500916, -0.7347327470779419)","(0.0004855679289903492, 239.34091186523438, -0.0002160922158509493)","(34.99993896484375, -0.003921755589544773, 1.4000061750411987)","(0.0005278866156004369, 269.99871826171875, 6.170718552311882e-05)",0.0,0.11142,"(-0.001197, 0.000000, 0.000128)",LeftFalse_RightFalse,False,"(-34.99998474121094, -0.003921619616448879, -1.6898539066314697)","(0.0007387696532532573, 90.70454406738281, 8.708657901479455e-07)",0.001406,0.0,"(0.000874, 0.000002, -0.000011)",LeftFalse_RightFalse
0.177246,0.036448,"(34.46112060546875, 1.393541932106018, 0.8736410140991211)","(352.5423583984375, 271.86883544921875, 4.043145656585693)","(34.82292175292969, 0.6336270570755005, -0.7347331047058105)","(0.0005896689835935831, 239.34060668945312, -0.00034180021611973643)","(34.99995040893555, -0.003921765834093094, 1.4000060558319092)","(0.0006815370288677514, 269.9984130859375, 6.651919193245703e-06)",0.0,0.11142,"(0.001048, 0.000001, -0.000072)",LeftFalse_RightFalse,False,"(-34.99996566772461, -0.003921598196029663, -1.6898541450500488)","(0.0006694380426779389, 90.70347595214844, 1.1353250783940894e-06)",0.002219,0.0,"(-0.000519, -0.000001, 0.000005)",LeftFalse_RightFalse
0.238647,0.041448,"(34.488853454589844, 1.3536959886550903, 0.8732283711433411)","(350.6474609375, 271.1096496582031, 3.9441897869110107)","(34.82292556762695, 0.6336283087730408, -0.7347333431243896)","(0.0006775763467885554, 239.34130859375, -0.0004446672974154353)","(34.99998092651367, -0.003921674098819494, 1.40000319480896)","(0.0008096103556454182, 269.9991149902344, -3.701241803355515e-05)",0.0,0.11142,"(-0.000429, 0.000003, 0.000047)",LeftFalse_RightFalse,False,"(-35.00001525878906, -0.00392169039696455, -1.6898534297943115)","(0.0008750876877456903, 90.703125, -4.911907467430865e-07)",0.000233,0.0,"(-0.001746, 0.000001, 0.000021)",LeftFalse_RightFalse
0.294312,0.044296,"(34.52997970581055, 1.3037729263305664, 0.8774909973144531)","(350.0023193359375, 268.1280517578125, 6.042521953582764)","(34.82289123535156, 0.6336266994476318, -0.7347300052642822)","(0.0005808865535072982, 239.34156799316406, -0.0003190613933838904)","(34.99995422363281, -0.003921598196029663, 1.4000062942504883)","(0.0006623874651268125, 269.9993896484375, 2.1734149413532577e-05)",0.0,0.11142,"(0.000280, 0.000000, 0.000004)",LeftFalse_RightFalse,False,"(-34.99995422363281, -0.00392163498327136, -1.6898542642593384)","(0.0005754900630563498, 90.70174407958984, -6.580476110684685e-07)",-0.00263,0.0,"(0.001770, -0.000001, -0.000021)",LeftFalse_RightFalse
0.353149,0.047209,"(34.56293487548828, 1.269063115119934, 0.8862365484237671)","(349.25592041015625, 265.8370361328125, 7.705437660217285)","(34.82289505004883, 0.6336272358894348, -0.7347289323806763)","(0.0006232233135960996, 239.34173583984375, -0.0003695274062920362)","(34.99996566772461, -0.003921627998352051, 1.400006651878357)","(0.0007245396263897419, 269.9995422363281, -9.028092051721615e-08)",0.0,0.11142,"(-0.000639, -0.000001, 0.000064)",LeftFalse_RightFalse,False,"(-34.99992752075195, -0.0039217472076416016, -1.6898548603057861)","(0.0005672817351296544, 90.70182037353516, 1.1636208228082978e-06)",0.001624,0.0,"(0.000004, 0.000000, -0.000001)",LeftFalse_RightFalse
0.408447,0.048826,"(34.58787536621094, 1.248274326324463, 0.8962354063987732)","(349.35601806640625, 264.2199401855469, 8.431126594543457)","(34.82279968261719, 0.6336264610290527, -0.73471999168396)","(0.0005696532316505909, 239.34393310546875, -0.0003063426411245018)","(34.99995040893555, -0.003921655938029289, 1.4000091552734375)","(0.0006462386809289455, 270.0017395019531, 2.694720205909107e-05)",0.0,0.11142,"(-0.000915, 0.000001, 0.000100)",LeftFalse_RightFalse,False,"(-34.99994659423828, -0.003921749070286751, -1.6898545026779175)","(0.0007189177558757365, 90.70106506347656, 5.20450669228012e-07)",-2e-06,0.0,"(0.000530, 0.000001, -0.000008)",LeftFalse_RightFalse
0.467529,0.050862,"(34.615962982177734, 1.2301384210586548, 0.9089726209640503)","(351.37579345703125, 262.69976806640625, 8.409941673278809)","(34.82275390625, 0.6336279511451721, -0.7347158193588257)","(0.0006424529128707945, 239.34527587890625, -0.0004063073720317334)","(34.99995803833008, -0.003921714145690203, 1.4000085592269897)","(0.0007598360534757376, 270.0030822753906, -2.1924168322584592e-05)",0.0,0.11142,"(0.000915, -0.000001, -0.000076)",LeftFalse_RightFalse,False,"(-34.9998893737793, -0.003921810071915388, -1.689855933189392)","(0.0006675513577647507, 90.70230865478516, 4.292474386602407e-06)",0.002281,0.0,"(0.000003, 0.000002, -0.000003)",LeftFalse_RightFalse
0.524414,0.052065,"(34.64545822143555, 1.2170945405960083, 0.9249178171157837)","(352.906005859375, 263.17816162109375, 6.5570292472839355)","(34.822723388671875, 0.6336269378662109, -0.7347126007080078)","(0.0005906398291699588, 239.34588623046875, -0.0003372844075784087)","(34.99994659423828, -0.0039216578006744385, 1.400010347366333)","(0.000680069497320801, 270.0036926269531, 1.1031390386051498e-05)",0.0,0.11142,"(-0.001020, 0.000001, 0.000106)",LeftFalse_RightFalse,False,"(-34.999855041503906, -0.003921806812286377, -1.6898562908172607)","(0.0005729601834900677, 90.70137023925781, -1.1031470421585254e-06)",0.000809,0.0,"(0.000210, 0.000002, -0.000002)",LeftFalse_RightFalse
0.579712,0.052714,"(34.66851043701172, 1.2096697092056274, 0.9386180639266968)","(353.65313720703125, 263.9326477050781, 5.335684299468994)","(34.82278823852539, 0.6336272954940796, -0.7347164154052734)","(0.0006306614959612489, 239.34451293945312, -0.0003778917307499796)","(34.999961853027344, -0.0039216578006744385, 1.400010585784912)","(0.000735203386284411, 270.0023193359375, -3.4925560612464324e-06)",0.0,0.11142,"(0.000651, -0.000001, -0.000045)",LeftFalse_RightFalse,False,"(-34.999778747558594, -0.003921777009963989, -1.6898572444915771)","(0.00043800397543236613, 90.70050048828125, -1.6827037825350999e-06)",-0.000551,0.0,"(0.000490, -0.000003, -0.000005)",LeftFalse_RightFalse
0.63562,0.053365,"(34.692752838134766, 1.205743432044983, 0.9530001282691956)","(353.3476257324219, 265.505859375, 3.534275770187378)","(34.82280349731445, 0.633628249168396, -0.7347173690795898)","(0.0006767242448404431, 239.3447723388672, -0.00043981062481179833)","(34.9999885559082, -0.003921618685126305, 1.4000084400177002)","(0.0008064007852226496, 270.0025939941406, -3.326921068946831e-05)",0.0,0.11142,"(-0.000920, 0.000001, 0.000093)",LeftFalse_RightFalse,False,"(-34.99980163574219, -0.003921708557754755, -1.689857006072998)","(0.0006523318588733673, 90.70087432861328, -1.4259958902584913e-07)",0.002339,0.0,"(0.000005, 0.000002, -0.000001)",LeftFalse_RightFalse
