ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014108,"(-34.91837692260742, 1.1902588605880737, -0.990284264087677)","(342.56634521484375, 92.2890396118164, 2.6820061206817627)","(-37.65557861328125, 4.0311970710754395, -0.8445682525634766)","(359.9938659667969, 80.43910217285156, 0.0010352033423259854)","(-34.99993896484375, -0.007403384894132614, -1.4000000953674316)","(359.9937744140625, 90.0000228881836, -4.6294709932226397e-07)",0.0,-0.003357,"(0.000392, 0.029557, 0.000000)",LeftFalse_RightFalse,False,"(-0.8699973821640015, -0.0038104623090475798, 34.999900817871094)","(0.0037273315247148275, 177.9569091796875, 1.617240030782341e-07)",0.0,0.0,"(-0.000001, -0.000395, 0.000042)",LeftFalse_RightFalse
0.057922,0.022866,"(-34.91704559326172, 1.1920112371444702, -0.9945448637008667)","(342.8803405761719, 92.51130676269531, 2.176896333694458)","(-37.65509033203125, 4.033010482788086, -0.8445841073989868)","(0.0011667993385344744, 80.43875885009766, -0.0001963362010428682)","(-34.999969482421875, -0.005933681968599558, -1.399999976158142)","(0.0011832027230411768, 89.99967193603516, 1.9181767640930047e-07)",0.0,-0.003357,"(0.002272, 0.018573, 0.000005)",LeftFalse_RightFalse,False,"(-0.8699972033500671, -0.003833622904494405, 34.99989700317383)","(0.0028361498843878508, 177.9569091796875, -1.802166167408359e-07)",0.051171,-0.668475,"(-0.000001, -0.000393, 0.000032)",LeftFalse_RightFalse
0.115967,0.029904,"(-34.916255950927734, 1.1930550336837769, -0.9973714351654053)","(343.02996826171875, 92.8311767578125, 1.7033973932266235)","(-37.654788970947266, 4.03411340713501, -0.8445701599121094)","(0.004937239456921816, 80.43905639648438, -0.000832374207675457)","(-34.999942779541016, -0.005007985979318619, -1.3999998569488525)","(0.005006913095712662, 89.9999771118164, -7.560149128948979e-07)",0.0,-0.003357,"(0.000907, 0.013320, 0.000002)",LeftFalse_RightFalse,False,"(-0.8699188232421875, -0.003855618881061673, 34.99974822998047)","(0.0016722949221730232, 177.9530487060547, -0.0007848396780900657)",0.029398,-0.126421,"(0.001826, -0.000370, -0.004035)",LeftFalse_RightFalse
0.174377,0.035603,"(-34.91500473022461, 1.1936676502227783, -1.0003387928009033)","(343.0586853027344, 93.33465576171875, 1.2107768058776855)","(-37.65464782714844, 4.034756660461426, -0.8444979190826416)","(0.006646440364420414, 80.44061279296875, -0.0011198071297258139)","(-34.99993896484375, -0.004444893449544907, -1.3999998569488525)","(0.006740114185959101, 90.00153350830078, -3.0474046752715367e-07)",0.0,-0.003357,"(-0.000028, 0.007771, -0.000002)",LeftFalse_RightFalse,False,"(-0.8698738813400269, -0.00387509074062109, 34.99937057495117)","(0.0005522508290596306, 177.95181274414062, -0.00037969480035826564)",0.010535,-0.126988,"(0.000858, -0.000308, -0.008857)",LeftFalse_RightFalse
0.231689,0.039953,"(-34.91427230834961, 1.1940069198608398, -1.0029480457305908)","(343.161865234375, 93.73197937011719, 0.9266231656074524)","(-37.65461730957031, 4.035093784332275, -0.8444098234176636)","(0.0070315171033144, 80.4425277709961, -0.0011818568455055356)","(-34.99995422363281, -0.0041262502782046795, -1.399999976158142)","(0.007130147889256477, 90.00343322753906, 2.4671057872183155e-06)",0.0,-0.003357,"(-0.000715, 0.004263, -0.000005)",LeftFalse_RightFalse,False,"(-0.8698210716247559, -0.003890476655215025, 34.998779296875)","(-0.000493420462589711, 177.95059204101562, -0.0002654005656950176)",-0.008269,-0.12749,"(0.000945, -0.000237, -0.010409)",LeftFalse_RightFalse
0.289978,0.043614,"(-34.914520263671875, 1.1941910982131958, -1.0047898292541504)","(343.32861328125, 94.14285278320312, 0.9240629076957703)","(-37.654659271240234, 4.035247802734375, -0.8443441390991211)","(0.006608647294342518, 80.4439468383789, -0.00111091579310596)","(-34.999977111816406, -0.003951864782720804, -1.4000000953674316)","(0.006701370235532522, 90.0048599243164, 2.186335677833995e-06)",0.0,-0.003357,"(-0.000217, 0.002131, -0.000001)",LeftFalse_RightFalse,False,"(-0.869788646697998, -0.003901728428900242, 34.998497009277344)","(0.00029388468828983605, 177.95147705078125, -6.145515362732112e-05)",0.005123,-0.127851,"(0.000124, -0.000145, -0.000036)",LeftFalse_RightFalse
0.346558,0.04621,"(-34.914615631103516, 1.1942780017852783, -1.0055384635925293)","(343.3149719238281, 94.30846405029297, 1.0011461973190308)","(-37.654701232910156, 4.035289287567139, -0.8442658185958862)","(0.005745014641433954, 80.44564056396484, -0.0009657178306952119)","(-34.999977111816406, -0.003870141925290227, -1.4000002145767212)","(0.005825615953654051, 90.00655364990234, 1.9211991002521245e-06)",0.0,-0.003357,"(-0.001181, 0.000896, -0.000004)",LeftFalse_RightFalse,False,"(-0.8697835206985474, -0.003908442799001932, 34.998470306396484)","(0.0009654292371124029, 177.95199584960938, 0.00011658605217235163)",0.002313,-0.128306,"(0.000046, -0.000097, -0.000303)",LeftFalse_RightFalse
0.402344,0.04813,"(-34.914608001708984, 1.194899320602417, -1.0058592557907104)","(343.1918640136719, 94.363037109375, 1.021976351737976)","(-37.65471649169922, 4.035264492034912, -0.8442195653915405)","(0.0045448425225913525, 80.4466323852539, -0.0007656393572688103)","(-34.99991226196289, -0.003838626202195883, -1.4000002145767212)","(0.004608883522450924, 90.0075454711914, -1.233969584291117e-07)",0.0,-0.003357,"(0.000133, 0.000224, -0.000002)",LeftFalse_RightFalse,False,"(-0.8697742223739624, -0.003912882413715124, 34.99839401245117)","(0.0010930342832580209, 177.95297241210938, 0.0001289953215746209)",-0.003118,-0.128709,"(0.000053, -0.000063, -0.000616)",LeftFalse_RightFalse
0.462769,0.050586,"(-34.91472244262695, 1.195847988128662, -1.0053850412368774)","(343.0643615722656, 94.27810668945312, 1.0851377248764038)","(-37.654747009277344, 4.0352253913879395, -0.8441812992095947)","(0.0036205656360834837, 80.44744873046875, -0.0006106201908551157)","(-34.99988555908203, -0.0038344827480614185, -1.4000000953674316)","(0.003671696176752448, 90.00836181640625, -7.764419933664612e-07)",0.0,-0.003357,"(0.000523, -0.000102, 0.000001)",LeftFalse_RightFalse,False,"(-0.8697723746299744, -0.003916047513484955, 34.998382568359375)","(0.0013094799360260367, 177.95233154296875, 0.00016913430590648204)",0.001381,-0.129254,"(0.000019, -0.000038, -0.000002)",LeftFalse_RightFalse
0.522156,0.052347,"(-34.91484451293945, 1.1962062120437622, -1.0045788288116455)","(343.04022216796875, 94.14253234863281, 1.193295955657959)","(-37.65475845336914, 4.035176753997803, -0.8441838026046753)","(0.0028029726818203926, 80.44740295410156, -0.00047191890189424157)","(-34.999839782714844, -0.0038444441743195057, -1.4000002145767212)","(0.0028424225747585297, 90.00831604003906, 1.9906097747934837e-07)",0.0,-0.003357,"(0.000192, -0.000234, -0.000001)",LeftFalse_RightFalse,False,"(-0.8697742223739624, -0.003917981870472431, 34.9984016418457)","(0.0014326234813779593, 177.95272827148438, 0.0002070356858894229)",-0.003017,-0.129676,"(0.000102, -0.000025, -0.000738)",LeftFalse_RightFalse
