ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.01456,"(34.771507263183594, 1.082037091255188, 1.0101242065429688)","(359.5600891113281, 267.4910888671875, 354.83984375)","(34.64293670654297, 0.9602909088134766, 1.1140646934509277)","(0.11994588375091553, 316.09326171875, 0.46477270126342773)","(35.002708435058594, -0.03135731816291809, 1.3991152048110962)","(0.41803625226020813, 270.0, 0.23589640855789185)",0.0,0.090637,"(0.000000, 0.000010, -0.000007)",LeftFalse_RightFalse,False,"(-35.00837707519531, -0.21588017046451569, -1.3997595310211182)","(1.3066657781600952, 90.00395965576172, 0.10558567941188812)",0.0,0.0,"(-0.000012, -0.000068, 0.000005)",LeftFalse_RightFalse
0.048828,0.017896,"(34.777626037597656, 1.0807640552520752, 1.0102083683013916)","(0.15557055175304413, 267.8753662109375, 355.36663818359375)","(34.64288330078125, 0.9602946043014526, 1.1140466928482056)","(0.12000806629657745, 316.0931701660156, 0.46425285935401917)","(35.00265121459961, -0.03135767579078674, 1.3990907669067383)","(0.4177047908306122, 269.99993896484375, 0.23549112677574158)",0.0,0.090637,"(-0.004449, -0.000041, -0.000764)",LeftFalse_RightFalse,False,"(-35.00831985473633, -0.21588414907455444, -1.3997613191604614)","(1.3064161539077759, 90.00395202636719, 0.10562495142221451)",0.014495,0.096352,"(0.005444, -0.000171, -0.000204)",LeftFalse_RightFalse
0.107666,0.018825,"(34.785179138183594, 1.0799795389175415, 1.0095936059951782)","(0.4324771761894226, 268.23736572265625, 356.1003112792969)","(34.642608642578125, 0.960297703742981, 1.1140049695968628)","(0.11974232643842697, 316.093994140625, 0.463445246219635)","(35.00236511230469, -0.03136119246482849, 1.399037480354309)","(0.4169386029243469, 270.000732421875, 0.2351224571466446)",0.0,0.090637,"(-0.007188, -0.000082, -0.000815)",LeftFalse_RightFalse,False,"(-35.00791549682617, -0.21589714288711548, -1.3997504711151123)","(1.3054059743881226, 90.0051498413086, 0.10548289120197296)",0.031781,0.096937,"(0.000124, -0.000066, 0.000364)",LeftFalse_RightFalse
0.151001,0.019772,"(34.791107177734375, 1.0796724557876587, 1.0093967914581299)","(0.3915834426879883, 268.51959228515625, 356.4203186035156)","(34.64230728149414, 0.9602972865104675, 1.113969087600708)","(0.11949189007282257, 316.09423828125, 0.46305257081985474)","(35.00205993652344, -0.03136499226093292, 1.398998498916626)","(0.4164820611476898, 270.0009765625, 0.23503057658672333)",0.0,0.090637,"(-0.007565, -0.000096, -0.000919)",LeftFalse_RightFalse,False,"(-35.00768280029297, -0.21590431034564972, -1.399735689163208)","(1.3052875995635986, 90.0047607421875, 0.10536470264196396)",-0.01959,0.097362,"(0.010985, -0.000286, 0.000224)",LeftFalse_RightFalse
0.194092,0.020415,"(34.79477310180664, 1.079486608505249, 1.0095748901367188)","(0.38017070293426514, 268.705322265625, 356.6352233886719)","(34.64186096191406, 0.9602962732315063, 1.113943338394165)","(0.11895428597927094, 316.095458984375, 0.46261027455329895)","(35.00160598754883, -0.0313698872923851, 1.3989663124084473)","(0.4157905578613281, 270.0022277832031, 0.23511120676994324)",0.0,0.090637,"(-0.012770, -0.000124, -0.000634)",LeftFalse_RightFalse,False,"(-35.00706481933594, -0.21591919660568237, -1.3997435569763184)","(1.304694652557373, 90.00617218017578, 0.1054854616522789)",-0.08231,0.0978,"(0.000348, -0.000018, -0.000100)",LeftFalse_RightFalse
0.239136,0.021242,"(34.79997634887695, 1.078951358795166, 1.009814739227295)","(0.36890578269958496, 269.1884765625, 356.4197082519531)","(34.64128112792969, 0.960293710231781, 1.1139240264892578)","(0.11850310117006302, 316.0975341796875, 0.46226876974105835)","(35.00102615356445, -0.03137553855776787, 1.3989357948303223)","(0.4152316451072693, 270.0042724609375, 0.23519937694072723)",0.0,0.090637,"(-0.012933, -0.000126, -0.000712)",LeftFalse_RightFalse,False,"(-35.00688552856445, -0.21592193841934204, -1.3997348546981812)","(1.3052695989608765, 90.0067138671875, 0.10538537055253983)",0.017903,0.098239,"(0.009320, -0.000172, 0.000141)",LeftFalse_RightFalse
0.282715,0.021389,"(34.805545806884766, 1.078372836112976, 1.0102194547653198)","(0.3534177839756012, 269.68597412109375, 356.1556091308594)","(34.640628814697266, 0.960289478302002, 1.1139038801193237)","(0.11819189041852951, 316.09893798828125, 0.4620494842529297)","(35.00037384033203, -0.031381700187921524, 1.3989078998565674)","(0.41485780477523804, 270.0057067871094, 0.23527155816555023)",0.0,0.090637,"(-0.017756, -0.000154, -0.000524)",LeftFalse_RightFalse,False,"(-35.005985260009766, -0.2159413993358612, -1.3997430801391602)","(1.3034759759902954, 90.0079574584961, 0.10557690262794495)",-0.005667,0.09871,"(0.029720, -0.000683, -0.000357)",LeftFalse_RightFalse
0.32312,0.020896,"(34.810916900634766, 1.0774561166763306, 1.010823369026184)","(0.6095953583717346, 270.18963623046875, 355.9782409667969)","(34.63987350463867, 0.9602857828140259, 1.1138980388641357)","(0.11776694655418396, 316.1014709472656, 0.4617825746536255)","(34.99962615966797, -0.03138795495033264, 1.3988882303237915)","(0.4143708646297455, 270.00823974609375, 0.23539267480373383)",0.0,0.090637,"(-0.019884, -0.000162, -0.000463)",LeftFalse_RightFalse,False,"(-35.00547790527344, -0.2159525603055954, -1.3997539281845093)","(1.3045456409454346, 90.00752258300781, 0.10566693544387817)",0.204989,0.099055,"(0.000119, 0.000047, 0.000305)",LeftFalse_RightFalse
0.381104,0.020169,"(34.82061004638672, 1.0759862661361694, 1.012101411819458)","(1.010345220565796, 270.8134765625, 355.818603515625)","(34.6386833190918, 0.9602780342102051, 1.1138859987258911)","(0.11742766946554184, 316.1040344238281, 0.46158310770988464)","(34.99843978881836, -0.03139744699001312, 1.3988620042800903)","(0.41399186849594116, 270.01080322265625, 0.23549871146678925)",0.0,0.090637,"(-0.024392, -0.000180, -0.000250)",LeftFalse_RightFalse,False,"(-35.004764556884766, -0.21596533060073853, -1.3997564315795898)","(1.3041110038757324, 90.00837707519531, 0.10573097318410873)",-0.022128,0.099677,"(0.023551, -0.000525, -0.000174)",LeftFalse_RightFalse
0.438354,0.019702,"(34.82752227783203, 1.0752345323562622, 1.0129666328430176)","(1.166121482849121, 271.29266357421875, 355.622802734375)","(34.637306213378906, 0.9602693915367126, 1.1138806343078613)","(0.11714820563793182, 316.10638427734375, 0.46141013503074646)","(34.9970703125, -0.031407784670591354, 1.3988432884216309)","(0.41367340087890625, 270.01312255859375, 0.23558013141155243)",0.0,0.090637,"(-0.023893, -0.000182, -0.000389)",LeftFalse_RightFalse,False,"(-35.00422668457031, -0.21597592532634735, -1.3997565507888794)","(1.3053934574127197, 90.0105209350586, 0.10560997575521469)",0.161734,0.100222,"(0.005317, -0.000074, 0.000242)",LeftFalse_RightFalse
0.496704,0.019563,"(34.83448791503906, 1.0744993686676025, 1.013817548751831)","(1.2048739194869995, 271.4686279296875, 355.9210205078125)","(34.63570022583008, 0.9602595567703247, 1.1138899326324463)","(0.11684228479862213, 316.1101379394531, 0.46123579144477844)","(34.99547576904297, -0.031419236212968826, 1.3988306522369385)","(0.4133356809616089, 270.01690673828125, 0.2356797158718109)",0.0,0.090637,"(-0.027807, -0.000198, -0.000212)",LeftFalse_RightFalse,False,"(-35.00287628173828, -0.2160046398639679, -1.3997751474380493)","(1.3030998706817627, 90.01306915283203, 0.10583756119012833)",-0.000837,0.100876,"(0.036486, -0.000795, -0.000775)",LeftFalse_RightFalse
0.555542,0.019691,"(34.84137725830078, 1.0745210647583008, 1.0142277479171753)","(0.8527480363845825, 271.5038146972656, 357.0024719238281)","(34.6339111328125, 0.9602484703063965, 1.113901138305664)","(0.11661545187234879, 316.1132507324219, 0.46109870076179504)","(34.99369812011719, -0.03143155202269554, 1.3988234996795654)","(0.41307955980300903, 270.02001953125, 0.23574800789356232)",0.0,0.090637,"(-0.031732, -0.000220, -0.000070)",LeftFalse_RightFalse,False,"(-35.002471923828125, -0.2160097062587738, -1.3997912406921387)","(1.305191993713379, 90.01402282714844, 0.10581047832965851)",0.046304,0.101409,"(0.018449, -0.000313, -0.000542)",LeftFalse_RightFalse
